 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | LW-b-dimensionless
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | F-SEX-sex
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | LW-a-kg/cm
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | TB-AGE-yr
 BRANCH      | NWFSC-WROCKPCOAST-1955-2006-BRANCH           | SSB-SEX-sex
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | M-1/yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | R0-E03
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | VB-k-cm/T
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | F-CALC-0-1-2
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SPRtarget-ratio
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SSBmin-ratio
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | L50-cm
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | TB-TYPE-0-1
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | VB-t0-yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | F-SEX-sex
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | F-AGE-yr-yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | Ftarget-1/yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SSB-SEX-sex
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | Blim-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SSBtarget-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | BH-h-dimensionless
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | MSY-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | REC-ESTIMATED-yr-yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | Bmsy-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | Fmsy-1/yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | SSB0-MT
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | TB-AGE-yr
 BRANCH      | NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH        | REC-AGE-yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | VB-k-cm/T
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | LW-a-kg/mm
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | M-1/yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | TB-TYPE-0-1
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | F-SEX-sex
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | LW-b-dimensionless
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | SSB-SEX-sex
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | BH-h-dimensionless
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | REC-AGE-yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | L50-mm
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | REC-ESTIMATED-yr-yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | R0-E03
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | F-CALC-0-1-2
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | TB-AGE-yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | F-AGE-yr-yr
 BRANCH      | SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH      | VB-t0-yr
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | SSB-SEX-sex
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | Winf-g
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | F0.1-1/yr
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | Linf-cm
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | Habitat-Habitat
 COLLIE      | DFO-PAC-ESOLEHS-1944-2005-COLLIE             | M-1/yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Habitat-Habitat
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Linf-cm
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | REC-AGE-yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | F-SEX-sex
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | M-1/yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | SSB-SEX-sex
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | F-AGE-yr-yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Fext-1/yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | SSB-AGE-yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Fmsy-1/yr
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Bmsy-MT
 COLLIE      | DFO-PAC-PCODHS-1956-2005-COLLIE              | Blim-MT
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | SSB-SEX-sex
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | REC-AGE-yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | SSB-AGE-yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | Fmsy-1/yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | F-SEX-sex
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | Bmsy-MT
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | Fext-1/yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | M-1/yr
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | Habitat-Habitat
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | Linf-cm
 COLLIE      | DFO-PAC-PCODWCVANI-1956-2002-COLLIE          | F-AGE-yr-yr
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | SSB-SEX-sex
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | F0.1-1/yr
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | Linf-cm
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | M-1/yr
 COLLIE      | DFO-PAC-RSOLEHSTR-1945-2001-COLLIE           | Winf-g
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | Bmsy-MT
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | Fmsy-1/yr
 COLLIE      | RIDEM-LOBSTERRI-1959-2007-COLLIE             | MAX-LEN-cm
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | Habitat-Habitat
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | MAX-LEN-cm
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | Bmsy-MT
 COLLIE      | RIDEM-TAUTOGRI-1959-2007-COLLIE              | Fmsy-1/yr
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | Habitat-Habitat
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | Bmsy-MT
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | MAX-LEN-cm
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | Fmsy-1/yr
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | F-SEX-sex
 COLLIE      | RIDEM-WINFLOUNDRI-1959-2007-COLLIE           | M-1/T
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | TB-AGE-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | SSBtarget-MT
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | SSB0-MT
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | F-AGE-yr-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | SSB-SEX-sex
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | Habitat-Habitat
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | REC-AGE-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | MAX-AGE-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | LW-a-kg/cm
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | TB-TYPE-0-1
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | Blim-MT
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | F-SEX-sex
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | F-CALC-0-1-2
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | M-1/yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | REC-ESTIMATED-yr-yr
 de Moor     | MARAM-ANCHOSA-1984-2006-de Moor              | LW-b-dimensionless
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | Habitat-Habitat
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | M-1/yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | TB-AGE-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | MAX-AGE-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | SSB-SEX-sex
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | LW-a-kg/cm
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | SSB0-MT
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | REC-ESTIMATED-yr-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | SSBtarget-MT
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | LW-b-dimensionless
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | REC-AGE-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | TB-TYPE-0-1
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | F-AGE-yr-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | A50-yr
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | F-SEX-sex
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | F-CALC-0-1-2
 de Moor     | MARAM-SARDSA-1984-2006-de Moor               | Blim-MT
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | TB-TYPE-0-1
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | A50-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | Habitat-Habitat
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | F-AGE-yr-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | F-CALC-0-1-2
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | M-1/yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | LW-b-dimensionless
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | F-SEX-sex
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | MAX-AGE-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | Fecundity-rel-eggs/g
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | SSB-AGE-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | VB-t0-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | Fecundity-N
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | LW-a-MT/cm
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | REC-ESTIMATED-yr-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | REC-AGE-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | TB-AGE-yr
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | Linf-cm
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | SSB-SEX-sex
 FRANCIS     | NIWA-HOKIENZ-1972-2007-FRANCIS               | VB-k-cm/T
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | LW-a-MT/cm
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | REC-AGE-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | SSB-SEX-sex
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | F-SEX-sex
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | Linf-cm
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | Fecundity-rel-eggs/g
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | TB-AGE-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | Fecundity-N
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | F-CALC-0-1-2
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | MAX-AGE-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | LW-b-dimensionless
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | REC-ESTIMATED-yr-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | TB-TYPE-0-1
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | A50-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | SSB-AGE-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | Habitat-Habitat
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | VB-t0-yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | M-1/yr
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | VB-k-cm/T
 FRANCIS     | NIWA-HOKIWNZ-1972-2007-FRANCIS               | F-AGE-yr-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | VB-t0-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | MAX-AGE-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | L50-cm
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | Habitat-Habitat
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | MAT-SEX-sex
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | LEN-SEX-sex
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | REC-AGE-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | LW-b-dimensionless
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | SSB-SEX-sex
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | REC-ESTIMATED-yr-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | LW-a-kg/cm
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | MAT-MODEL-option
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | MAT-SLOPE-dimensionless
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | M-1/yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | Linf-cm
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | Blim-MT
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | TB-TYPE-0-1
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | TB-AGE-yr
 FULTON      | CSIRO-BIGHTREDSESSF-1958-2007-FULTON         | VB-k-cm/T
 FULTON      | CSIRO-BTSHRIMPNAUST-1970-2006-FULTON         | L50-cm
 FULTON      | CSIRO-BTSHRIMPNAUST-1970-2006-FULTON         | Fecundity-N
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | TB-TYPE-0-1
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | LW-b-dimensionless
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | BH-h-dimensionless
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | LEN-SEX-sex
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | L50max-cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | Linf-cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | SSB-SEX-sex
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | MAX-AGE-yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | MAX-LEN-cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | A50-yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | Blim-MT
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | VB-t0-yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | L50-cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | M-1/T
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | MAT-SLOPE-dimensionless
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | VB-k-cm/T
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | L50min-cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | SSBmsy-MT
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | MAT-MODEL-option
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | REC-AGE-yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | MAT-SEX-sex
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | TB-AGE-yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | M-1/yr
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | LW-a-kg/cm
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | Habitat-Habitat
 FULTON      | CSIRO-DEEPFLATHEADSESSF-1978-2007-FULTON     | REC-ESTIMATED-yr-yr
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | A50-yr
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | SSBmsy-MT
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | SSB-SEX-sex
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | LW-a-kg/cm
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | LEN-SEX-sex
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | BH-h-dimensionless
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | Blim-MT
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | REC-ESTIMATED-yr-yr
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAT-SLOPE-dimensionless
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | REC-AGE-yr
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | L50-cm
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | TB-TYPE-0-1
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | Linf-cm
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | Habitat-Habitat
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAT-REF-doctype
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAT-SEX-sex
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAT-MODEL-option
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | Fecundity-N
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAX-AGE-yr
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | LW-b-dimensionless
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | MAX-LEN-cm
 FULTON      | CSIRO-GEMFISHSESSF-1966-2007-FULTON          | TB-AGE-yr
 FULTON      | CSIRO-GTPRAWNNAUST-1970-2006-FULTON          | L50-cm
 FULTON      | CSIRO-GTPRAWNNAUST-1970-2006-FULTON          | Fecundity-N
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | Linf-cm
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | L50-cm
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | LW-a-kg/cm
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | Habitat-Habitat
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | MAT-SLOPE-dimensionless
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | TB-TYPE-0-1
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | MAT-MODEL-option
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | MAX-AGE-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | REC-ESTIMATED-yr-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | VB-k-cm/T
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | LW-b-dimensionless
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | REC-AGE-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | Fecundity-N
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | M-1/yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | VB-t0-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | BH-h-dimensionless
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | A50-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | SSBmsy-MT
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | MAT-SEX-sex
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | MAX-LEN-cm
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | TB-AGE-yr
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | SSB-SEX-sex
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | LEN-SEX-sex
 FULTON      | CSIRO-MORWONGSESSF-1913-2007-FULTON          | Blim-MT
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | MAX-AGE-yr
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | L50-cm
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | LW-a-kg/cm
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | A50-yr
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | Bpa-MT
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | SSBmsy-MT
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | Fecundity-N
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | TB-AGE-yr
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | MAX-LEN-cm
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | Linf-cm
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | LEN-SEX-sex
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | TB-TYPE-0-1
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | LW-b-dimensionless
 FULTON      | CSIRO-OROUGHYCASCADE-1987-2006-FULTON        | SSB-SEX-sex
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          | MAX-AGE-yr
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          | A50-yr
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          | SSB-SEX-sex
 FULTON      | CSIRO-OROUGHYSESSF-1978-2007-FULTON          | MAX-LEN-cm
